YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,METANN
1992,3.4,4.5,4.9,6.6,14.0,18.3,17.7,16.2,13.6,6.7,5.4,3.2,3.9,8.5,17.4,8.6,9.60
1993,2.3,2.1,3.8,8.0,13.7,14.3,14.9,14.7,11.9,8.0,2.8,2.3,2.5,8.5,14.6,7.6,8.31
1994,2.7,-0.9,3.7,7.8,11.6,13.4,19.7,17.1,12.6,8.4,6.9,4.3,1.4,7.7,16.7,9.3,8.78
1995,0.3,4.0,3.4,6.6,10.4,14.4,17.8,18.2,13.1,11.4,3.7,-2.5,2.9,6.8,16.8,9.4,8.97
1996,-1.6,-2.3,0.5,6.9,9.1,14.1,15.2,18.1,11.4,10.0,4.9,-0.8,-2.1,5.5,15.8,8.8,6.98
1997,-1.1,2.9,4.1,6.1,9.9,15.4,18.2,20.4,13.3,7.9,4.6,2.9,0.3,6.7,18.0,8.6,8.41
1998,2.6,5.5,4.4,6.8,12.5,14.1,15.1,14.9,13.8,8.9,2.3,1.5,3.7,7.9,14.7,8.3,8.65
1999,2.6,1.8,4.1,8.5,10.9,14.2,17.7,17.0,16.4,9.7,5.9,2.3,2.0,7.8,16.3,10.7,9.19
2000,3.5,4.2,4.2,8.7,13.2,14.7,15.8,15.6,13.2,11.2,7.2,3.8,3.3,8.7,15.4,10.5,9.48
2001,3.4,0.7,1.7,6.4,11.9,13.7,18.4,17.7,13.4,12.7,5.0,0.7,2.6,6.7,16.6,10.4,9.07
2002,3.0,4.6,4.6,7.9,13.5,16.2,17.5,20.0,14.6,6.9,4.1,0.1,2.8,8.7,17.9,8.5,9.47
2003,0.3,-0.8,3.6,7.5,11.5,16.1,18.6,18.0,14.2,6.8,6.7,4.2,-0.1,7.5,17.6,9.2,8.55
2004,-0.6,2.2,4.2,8.6,12.3,14.3,16.0,18.5,13.6,9.0,4.9,3.7,1.9,8.4,16.3,9.2,8.93
2005,3.4,-0.3,0.9,7.5,10.8,14.0,17.5,16.1,14.2,10.8,6.3,2.7,2.3,6.4,15.9,10.4,8.74
2006,-1.2,0.5,-0.7,6.7,11.9,15.6,20.1,17.7,16.4,12.3,8.1,7.0,0.7,6.0,17.8,12.3,9.18
2007,5.1,2.0,6.4,9.6,11.7,16.8,16.0,17.2,13.0,8.7,5.2,4.1,4.7,9.2,16.7,9.0,9.89
2008,4.4,5.1,3.7,8.0,13.0,15.5,18.3,16.9,13.2,9.9,5.6,2.7,4.5,8.2,16.9,9.6,9.81
2009,1.4,0.8,4.3,9.7,11.9,14.9,17.7,17.4,14.3,8.0,7.5,0.6,1.6,8.6,16.7,9.9,9.22
2010,-3.7,-2.7,2.1,7.5,10.2,14.3,18.9,17.0,12.9,8.7,2.6,-4.5,-1.9,6.6,16.7,8.1,7.37
2011,0.3,-0.2,3.4,10.6,11.5,15.6,17.4,16.7,14.4,10.2,7.7,4.1,-1.5,8.5,16.6,10.8,8.59
2012,2.2,-0.3,6.3,6.6,12.8,13.2,16.6,16.9,13.1,8.8,6.2,-0.3,2.0,8.6,15.6,9.4,8.88
2013,0.1,-0.3,-0.3,6.0,12.9,14.6,18.0,17.5,13.7,11.0,5.9,5.7,-0.2,6.2,16.7,10.2,8.23
2014,2.0,4.7,6.6,9.4,12.4,16.0,20.4,16.7,14.9,12.5,8.2,3.0,4.1,9.5,17.7,11.9,10.79
